,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_x,id,uri_x,track_href,analysis_url,duration_ms_x,time_signature,album,artists,disc_number,duration_ms_y,explicit,external_ids,external_urls,href,is_local,is_playable,name,popularity,preview_url,track_number,type_y,uri_y,artist-album
0,0.188,0.489,2,-10.152,1,0.0378,0.761,0.103,0.109,0.127,77.459,audio_features,5tuHiLI7CPV1BI9m2Gnlph,spotify:track:5tuHiLI7CPV1BI9m2Gnlph,https://api.spotify.com/v1/tracks/5tuHiLI7CPV1BI9m2Gnlph,https://api.spotify.com/v1/audio-analysis/5tuHiLI7CPV1BI9m2Gnlph,248995,4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,248995,False,{'isrc': 'USA2P2401574'},{'spotify': 'https://open.spotify.com/track/5tuHiLI7CPV1BI9m2Gnlph'},https://api.spotify.com/v1/tracks/5tuHiLI7CPV1BI9m2Gnlph,False,True,Hell Is Near,45,https://p.scdn.co/mp3-preview/f29b78be5c92601a52e6021ebcbf1e129f6aa91e?cid=33d8deeef1ab45eab51ced741d6bf2f4,1,track,spotify:track:5tuHiLI7CPV1BI9m2Gnlph,St. Vincent: All Born Screaming
1,0.258,0.307,7,-10.207,1,0.0688,0.13,0.00291,0.102,0.0807,74.037,audio_features,5iI1svWkerLI9FgQbIzQTu,spotify:track:5iI1svWkerLI9FgQbIzQTu,https://api.spotify.com/v1/tracks/5iI1svWkerLI9FgQbIzQTu,https://api.spotify.com/v1/audio-analysis/5iI1svWkerLI9FgQbIzQTu,237203,4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,237203,False,{'isrc': 'USA2P2401575'},{'spotify': 'https://open.spotify.com/track/5iI1svWkerLI9FgQbIzQTu'},https://api.spotify.com/v1/tracks/5iI1svWkerLI9FgQbIzQTu,False,True,Reckless,42,https://p.scdn.co/mp3-preview/d0ec9968154bf6942acbf2cc79567a7af3b5c8d8?cid=33d8deeef1ab45eab51ced741d6bf2f4,2,track,spotify:track:5iI1svWkerLI9FgQbIzQTu,St. Vincent: All Born Screaming
2,0.77,0.736,8,-4.98,0,0.0569,0.0621,0.00843,0.109,0.577,112.018,audio_features,1kgLXgHrXecZyRCDROfAPb,spotify:track:1kgLXgHrXecZyRCDROfAPb,https://api.spotify.com/v1/tracks/1kgLXgHrXecZyRCDROfAPb,https://api.spotify.com/v1/audio-analysis/1kgLXgHrXecZyRCDROfAPb,201533,4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,201533,False,{'isrc': 'USA2P2401576'},{'spotify': 'https://open.spotify.com/track/1kgLXgHrXecZyRCDROfAPb'},https://api.spotify.com/v1/tracks/1kgLXgHrXecZyRCDROfAPb,False,True,Broken Man,50,https://p.scdn.co/mp3-preview/b2fa40a0245f0cf570faae3e9dfcccc41be5822c?cid=33d8deeef1ab45eab51ced741d6bf2f4,3,track,spotify:track:1kgLXgHrXecZyRCDROfAPb,St. Vincent: All Born Screaming
3,0.483,0.764,9,-4.897,1,0.0453,0.038,0.137,0.35,0.386,138.055,audio_features,6TryolYM0MBzNTxGrlfcqt,spotify:track:6TryolYM0MBzNTxGrlfcqt,https://api.spotify.com/v1/tracks/6TryolYM0MBzNTxGrlfcqt,https://api.spotify.com/v1/audio-analysis/6TryolYM0MBzNTxGrlfcqt,226578,4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,226578,False,{'isrc': 'USA2P2401577'},{'spotify': 'https://open.spotify.com/track/6TryolYM0MBzNTxGrlfcqt'},https://api.spotify.com/v1/tracks/6TryolYM0MBzNTxGrlfcqt,False,True,Flea,46,https://p.scdn.co/mp3-preview/50e9df144059dcafb1d199afcebf0c4f853f38eb?cid=33d8deeef1ab45eab51ced741d6bf2f4,4,track,spotify:track:6TryolYM0MBzNTxGrlfcqt,St. Vincent: All Born Screaming
4,0.761,0.854,11,-3.405,0,0.0521,0.00438,0.00615,0.315,0.856,101.968,audio_features,7F1xUyDoz9vSbwSaCryT5x,spotify:track:7F1xUyDoz9vSbwSaCryT5x,https://api.spotify.com/v1/tracks/7F1xUyDoz9vSbwSaCryT5x,https://api.spotify.com/v1/audio-analysis/7F1xUyDoz9vSbwSaCryT5x,178722,4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,178722,False,{'isrc': 'USA2P2401578'},{'spotify': 'https://open.spotify.com/track/7F1xUyDoz9vSbwSaCryT5x'},https://api.spotify.com/v1/tracks/7F1xUyDoz9vSbwSaCryT5x,False,True,Big Time Nothing,50,https://p.scdn.co/mp3-preview/fe5fe38e6531bb0b49b6d9cd8ed231c03be13c70?cid=33d8deeef1ab45eab51ced741d6bf2f4,5,track,spotify:track:7F1xUyDoz9vSbwSaCryT5x,St. Vincent: All Born Screaming
5,0.672,0.607,5,-6.778,0,0.0379,0.038,0.0989,0.101,0.367,95.008,audio_features,3v8tW1X1jnhV2NlqsCYMV2,spotify:track:3v8tW1X1jnhV2NlqsCYMV2,https://api.spotify.com/v1/tracks/3v8tW1X1jnhV2NlqsCYMV2,https://api.spotify.com/v1/audio-analysis/3v8tW1X1jnhV2NlqsCYMV2,237030,4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,237029,False,{'isrc': 'USA2P2401579'},{'spotify': 'https://open.spotify.com/track/3v8tW1X1jnhV2NlqsCYMV2'},https://api.spotify.com/v1/tracks/3v8tW1X1jnhV2NlqsCYMV2,False,True,Violent Times,42,https://p.scdn.co/mp3-preview/a601470cfc8b2843f6af4026c9ef9cddd56e7877?cid=33d8deeef1ab45eab51ced741d6bf2f4,6,track,spotify:track:3v8tW1X1jnhV2NlqsCYMV2,St. Vincent: All Born Screaming
6,0.418,0.618,8,-8.268,1,0.0417,0.33,0.00017,0.0867,0.243,69.961,audio_features,3LLpaB6tOUeSZRAkHBUEPU,spotify:track:3LLpaB6tOUeSZRAkHBUEPU,https://api.spotify.com/v1/tracks/3LLpaB6tOUeSZRAkHBUEPU,https://api.spotify.com/v1/audio-analysis/3LLpaB6tOUeSZRAkHBUEPU,278273,3,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3nRlJXz5W39luXRto5hc4f'}, 'href': 'https://api.spotify.com/v1/albums/3nRlJXz5W39luXRto5hc4f', 'id': '3nRlJXz5W39luXRto5hc4f', 'images': [{'url': 'https://i.scdn.co/image/ab67616d0000b273902e9fffc3787dd4fe7678e7', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02902e9fffc3787dd4fe7678e7', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851902e9fffc3787dd4fe7678e7', 'width': 64, 'height': 64}], 'is_playable': True, 'name': 'All Born Screaming', 'release_date': '2024-04-26', 'release_date_precision': 'day', 'total_tracks': 10, 'type': 'album', 'uri': 'spotify:album:3nRlJXz5W39luXRto5hc4f'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6'}, 'href': 'https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6', 'id': '7bcbShaqKdcyjnmv4Ix8j6', 'name': 'St. Vincent', 'type': 'artist', 'uri': 'spotify:artist:7bcbShaqKdcyjnmv4Ix8j6'}]",1,278272,False,{'isrc': 'USA2P2401580'},{'spotify': 'https://open.spotify.com/track/3LLpaB6tOUeSZRAkHBUEPU'},https://api.spotify.com/v1/tracks/3LLpaB6tOUeSZRAkHBUEPU,False,True,The Power's Out,39,https://p.scdn.co/mp3-preview/dbf8e63c907a16d129867a56f03a0ba45bb29757?cid=33d8deeef1ab45eab51ced741d6bf2f4,7,track,spotify:track:3LLpaB6tOUeSZRAkHBUEPU,St. Vincent: All Born Screaming
